selected_stock,leg_stock,pvalue
NEE,TFX,0.001045486
DTE,SWK,0.001061618
CMS,DHR,0.001090145
ADP,IFF,0.00110977
LLY,MHK,0.001127192
ABT,VFC,0.001131666
PEG,REG,0.001135882
BF-B,DHI,0.001146148
MKC,SJM,0.00114945
ES,LH,0.001193221
AEP,SPGI,0.001194036
SJM,SWK,0.001280347
EIX,REG,0.001308955
DUK,KO,0.001310695
CLX,HD,0.001399043
DUK,LEN,0.001419231
ES,SWK,0.001433228
ES,TRV,0.001448269
MKC,PNW,0.001451007
D,MDLZ,0.00149334
DUK,YUM,0.001493461
BMY,NKE,0.001493824
PNW,SWK,0.00154662
ABT,MCO,0.001564913
PG,UPS,0.001577462
CMS,POOL,0.001592856
D,OMC,0.001594897
BF-B,CBRE,0.001603087
PEP,PGR,0.001608273
BDX,MAS,0.001619472
HSY,JBHT,0.001640413
CMS,MTD,0.001693638
ADP,IT,0.001706316
D,RJF,0.001727392
MCK,VRTX,0.001729539
ES,INTU,0.001736999
D,DHR,0.001755236
EIX,JCI,0.001766447
MDLZ,PGR,0.001815162
MCK,VTRS,0.00181592
CPB,TYL,0.001839885
ES,MKC,0.001862628
CLX,DHI,0.001864617
PEP,PKI,0.001865973
BMY,DHI,0.00189668
SRE,WFC,0.001912358
CMS,MKC,0.001914027
DUK,TJX,0.001915483
CL,LKQ,0.001949413
CLX,ORLY,0.001954836
CMS,SWK,0.001973963
LMT,TAP,0.001998599
D,IPG,0.002002816
MKC,XEL,0.002003128
PEP,RE,0.002030609
AEP,VRSN,0.002134459
PG,TFC,0.00220663
LMT,TFX,0.002268039
PG,USB,0.002271591
BDX,NOC,0.002300564
ES,MTD,0.002311358
ES,PGR,0.002367053
CMS,DHI,0.002375065
AEP,DHI,0.002423536
DUK,UPS,0.002432127
K,LNT,0.002499218
AEP,ICE,0.002511244
CMS,PGR,0.002516929
GIS,SWK,0.002538807
DUK,VZ,0.002544353
BAX,GEN,0.00254964
CPB,GOOG,0.002557799
DTE,PGR,0.002581128
CPB,PGR,0.002582466
CPB,TFX,0.002583656
CPB,GOOGL,0.002584858
NEE,RE,0.002595777
D,IEX,0.002613113
MCK,WAB,0.002631858
DUK,RJF,0.002648635
BDX,VMC,0.002687906
CL,COF,0.002711724
NEE,POOL,0.002729059
PEP,SNA,0.002797657
K,NVR,0.002828999
ABT,PHM,0.002841051
CLX,HSIC,0.00286701
AEP,OMC,0.002869365
DTE,UPS,0.002871576
DTE,IT,0.002918892
D,ODFL,0.002941229
CPB,K,0.002967523
LLY,XRAY,0.002977957
DTE,WRB,0.003009768
DUK,JBHT,0.003010914
DUK,WTW,0.003016301
D,HON,0.003023314
D,SPGI,0.003027993
GIS,WEC,0.003047587
KO,VZ,0.003092308
GIS,PGR,0.003104335
ABT,BIIB,0.003113109
AEP,IPG,0.003113268
ED,MCD,0.003142809
CNP,CVX,0.003179473
PG,RJF,0.003184668
D,MA,0.003204746
CMS,TRV,0.003213682
PEP,TRV,0.003242302
ES,FRT,0.003248867
EIX,ICE,0.003250343
LMT,VMC,0.003251259
D,ECL,0.003330846
BMY,MOH,0.003380985
BDX,PAYX,0.003413231
ABT,DHI,0.003448559
PG,TDY,0.003480502
D,DFS,0.003480568
LNT,PGR,0.003487682
D,WTW,0.003502396
D,TFC,0.003504911
BDX,FISV,0.003511907
LNT,SNPS,0.003562797
CL,COO,0.003604699
PFE,TJX,0.003606504
GIS,TYL,0.003617029
LMT,MAS,0.003619553
BAX,JNJ,0.003655253
DTE,LH,0.003681181
CLX,STE,0.00368533
WM,WST,0.003686747
TAP,TSN,0.003761821
BF-B,COF,0.003772121
CMS,SNPS,0.003791378
CMS,INTU,0.003800713
DUK,IT,0.003844979
ED,MAA,0.003942644
SYY,TXN,0.003942748
CL,DUK,0.003945589
D,PTC,0.003968288
D,TEL,0.003993187
D,GL,0.00400415
NEM,PHM,0.004120528
BDX,TSN,0.004142164
MDLZ,WRB,0.004160434
BMY,ROP,0.004178016
KO,TER,0.004190321
EIX,MAS,0.004232438
SYY,TSN,0.004245795
AEP,CDNS,0.004288513
CPB,TSN,0.004308254
PNW,ROST,0.004355093
D,LEN,0.004366001
MDLZ,TJX,0.004429594
BMY,IFF,0.004434196
BMY,LEN,0.004435065
BDX,TXN,0.004454498
GIS,NVR,0.004500819
CL,TJX,0.004515191
KO,WELL,0.004522783
LNT,SWK,0.004556117
ABT,VRTX,0.004591606
PEP,SNPS,0.004598599
DUK,ROP,0.004604966
MDLZ,NVR,0.00466565
BDX,MSFT,0.004726444
CMS,NVR,0.00472662
BDX,SPGI,0.004765209
KMB,LEN,0.004767851
BDX,ICE,0.004781022
ES,IPG,0.004782027
CLX,EXPE,0.004792926
PCG,RSG,0.004800835
PCG,WM,0.00481351
AEE,CDNS,0.004861072
ED,SWK,0.004891717
MKC,PGR,0.00490746
D,INTU,0.004936483
CLX,VRSN,0.004998989
AEE,XRAY,0.005032128
BDX,TAP,0.005044485
SJM,WEC,0.005053866
ADP,BALL,0.005056109
CL,WELL,0.005070261
K,TFX,0.005174055
LMT,MLM,0.005210439
PG,PTC,0.005224341
K,NI,0.005255537
PEP,TFC,0.005270424
ADP,SPGI,0.00527275
AEP,ITW,0.005304156
LNT,OMC,0.005312979
ABT,SRE,0.005317503
NEE,XRAY,0.005318357
ES,KLAC,0.005330604
ES,ESS,0.005405877
KMB,MDLZ,0.005410459
CPB,JCI,0.005447757
D,PG,0.005455755
DTE,INTU,0.005460622
BF-B,MCO,0.005465109
PG,TT,0.005466433
NEE,TFC,0.005493353
CL,PFE,0.005495912
AEP,EXPE,0.00549687
KO,MSI,0.005500346
DTE,RJF,0.005536209
NEE,PEP,0.00553665
PG,PODD,0.005559585
GD,MLM,0.005568192
LNT,MCHP,0.005571325
BMY,SHW,0.005635144
K,LH,0.005639376
D,IFF,0.005673508
GD,LRCX,0.005676685
PEG,VMC,0.005786527
GIS,SJM,0.005809554
DUK,MTB,0.005819059
DTE,IFF,0.005831304
CMS,IFF,0.005879118
NI,XRAY,0.005893
GIS,IFF,0.005908286
MDLZ,TDG,0.005969514
PEG,ZBH,0.005973529
LMT,MSFT,0.005976913
K,TSN,0.005977195
PCG,TXN,0.005999707
CLX,PGR,0.006019603
PCG,SYY,0.006063208
CPB,POOL,0.006063641
PG,TEL,0.006067026
K,POOL,0.006079567
GD,JCI,0.006083083
ABT,PPG,0.006154862
NEE,NWL,0.00616134
D,DHI,0.006169189
PEG,VLO,0.006209062
NI,VRSN,0.006212847
CPB,NVR,0.00621741
BMY,RMD,0.006256366
CL,PHM,0.006331876
MDLZ,UPS,0.006351571
JNJ,SPGI,0.006358765
D,MTB,0.006389976
KR,MOH,0.006407359
AEP,NWL,0.006417718
CL,MCO,0.006452629
MCD,SO,0.00646957
D,PFE,0.006471659
CLX,LH,0.006523922
ADP,WRB,0.006540378
MKC,PSA,0.006565673
ES,LEN,0.006567359
JNJ,MMC,0.006668986
DUK,SPG,0.006725315
TAP,TMUS,0.00672932
BDX,NWL,0.006738741
CMS,XEL,0.006759235
PFE,SHW,0.00681521
GIS,RMD,0.006847681
PCG,UNH,0.006908905
DTE,MMC,0.006962041
ADP,TRV,0.006963102
NEE,OMC,0.007014891
K,WEC,0.007039558
K,SNPS,0.007135557
SYY,WST,0.007142361
K,MAS,0.007166384
SRE,TFC,0.007173404
CNP,LIN,0.007176986
ADP,RE,0.00718965
MDLZ,SPGI,0.007204982
D,MCO,0.007213139
LLY,SNA,0.007245468
PEP,ZBH,0.007296046
DTE,KLAC,0.007319948
IBM,JCI,0.007347167
PG,PHM,0.00735548
CMS,KLAC,0.007404927
PG,WTW,0.007446148
KMB,TYL,0.007482249
ED,O,0.007522507
BMY,CRM,0.007547265
AEP,CB,0.007615291
GIS,LH,0.007617843
PFE,PG,0.007687854
LNT,SPGI,0.007726839
DUK,ESS,0.0077399
DTE,ITW,0.007753179
ADP,APH,0.007776582
MDLZ,RE,0.007859538
AEP,HON,0.007869619
NI,POOL,0.007905089
DTE,TFC,0.007924445
PEP,STE,0.007935148
K,SWK,0.007936401
PG,ZBH,0.00795916
PEP,TDG,0.007973849
DTE,SNPS,0.008001528
SJM,WAT,0.008009732
ABT,BF-B,0.008040573
DTE,MDLZ,0.008058988
CLX,TYL,0.008064341
JNJ,TFC,0.008104347
CMS,VRSN,0.008108502
D,LH,0.008113223
BAX,NEE,0.008159766
NEE,SNPS,0.008197428
AEP,HSIC,0.008210106
HSY,LEN,0.008221974
KR,SEE,0.00826392
ES,WTW,0.008298281
MCK,RHI,0.008300195
CPB,NWL,0.008306896
PEP,TMO,0.008337369
D,JBHT,0.008376045
BMY,UHS,0.008385043
NI,PGR,0.008390006
AEP,DHR,0.00849953
DUK,OMC,0.008553011
ES,SJM,0.008579756
BF-B,ROP,0.008583069
CL,ECL,0.008606936
AEP,GOOG,0.008650845
GIS,IPG,0.008674689
ES,OMC,0.008677575
K,XEL,0.00871202
DUK,TFC,0.008772124
SO,SWK,0.008808958
PG,WHR,0.008814745
PG,WFC,0.008816747
DUK,PFE,0.008827056
AEP,IFF,0.008856371
PG,SRE,0.008891647
BF-B,MDLZ,0.008894689
MKC,SWK,0.008915173
ED,LH,0.008961679
CLX,EFX,0.009051693
AEP,TFC,0.009058948
ABT,DVA,0.00910152
CPB,MAS,0.009105686
MDLZ,VRSN,0.009153112
BDX,PEP,0.009174674
JNJ,OMC,0.009198665
LLY,WBA,0.009324247
CPB,HAS,0.009341639
ETR,HIG,0.00941246
AEE,NDAQ,0.009480985
BF-B,CRM,0.009509724
AEP,TFX,0.009519792
K,WAT,0.009569973
ES,SHW,0.009626922
AEE,MLM,0.009633988
PEP,TFX,0.009657566
BMY,HRL,0.009805054
CMS,WAT,0.009807919
ES,VRSN,0.009843901
BMY,HSIC,0.009945392
SRE,WHR,0.009962622
LLY,LOW,0.009963509
DUK,IPG,0.009981761
ES,IFF,0.009996046
AEP,AMT,0.010065225
NI,TYL,0.010083896
DTE,MCHP,0.010084209
BF-B,CDNS,0.010159976
PCG,TFX,0.010209087
KMB,VRSN,0.010258365
CLX,LOW,0.010264373
BDX,DPZ,0.010330481
BDX,FICO,0.010364212
CL,SRE,0.0104725
DUK,WY,0.010493096
KR,STE,0.010546827
ES,TJX,0.010554517
CMS,HD,0.010599749
PEG,RCL,0.010604574
MDLZ,WEC,0.01060696
K,MAA,0.010627032
BMY,LOW,0.010756045
AEP,MDLZ,0.010762004
BDX,CTAS,0.010811756
DUK,LH,0.010836149
PFE,WY,0.010861625
EIX,TFC,0.010865049
PEP,UPS,0.010902643
BMY,STE,0.010972494
AEP,GOOGL,0.010975266
PEG,TXN,0.011075018
NEE,TMO,0.011081813
BAX,TFC,0.011148071
BMY,COST,0.011175006
AEP,PKI,0.011178846
BMY,MCO,0.011245504
AEE,ICE,0.011291862
PCG,TSN,0.011305454
ADP,MMC,0.011315509
CL,WTW,0.011343651
GIS,SPGI,0.011421335
ABT,WFC,0.011453333
CMS,ROST,0.011478343
D,MMC,0.011489999
CL,JBHT,0.011512564
LNT,WAT,0.011528565
LLY,NWL,0.011536976
EIX,SYK,0.011598572
CMS,K,0.011617524
D,TDY,0.011642837
ADP,DTE,0.011647747
K,VRSN,0.011669763
ES,WAT,0.011749032
D,ESS,0.011781818
GIS,HRL,0.011799853
AEP,MHK,0.011825046
D,WFC,0.011828035
CMS,IPG,0.011850776
TAP,TFX,0.011861526
AEP,TYL,0.011886201
NI,SPGI,0.011916587
GD,LUV,0.011924504
BMY,IPG,0.011943978
ADP,TYL,0.011962423
D,TER,0.011984829
PG,PKI,0.012026387
PG,PKG,0.012052031
ADP,DHR,0.01212282
CLX,JKHY,0.012137187
BMY,CSGP,0.012164785
KO,WY,0.012186131
BDX,EFX,0.012282568
CPB,JKHY,0.012322531
ABT,COF,0.012355945
TAP,WM,0.012380947
DTE,IPG,0.012444482
CMS,IT,0.012446926
D,MRK,0.012481568
CL,TFC,0.012514712
EIX,NWL,0.012521758
BF-B,SBAC,0.012543179
PEG,PNC,0.012550591
LMT,PEG,0.012576589
CL,PPG,0.012688963
CMS,TDG,0.012708353
AEP,INTC,0.012756942
PNW,POOL,0.012762523
CMS,WRB,0.012764034
ABT,DISH,0.012941844
PEG,PEP,0.013000881
AEE,AIZ,0.013025757
CMS,SJM,0.013027688
BDX,RSG,0.01307698
BMY,WTW,0.013079703
BDX,CDNS,0.013086731
D,USB,0.013118498
K,O,0.013129031
PNW,SNPS,0.013139076
ES,RJF,0.013153805
CLX,PSA,0.013183933
PEG,TAP,0.01320824
PEG,TFX,0.013226657
GD,MSFT,0.013265949
SO,YUM,0.013287081
EIX,PEP,0.013307383
PEP,RJF,0.013336858
NI,TSN,0.013350138
AEE,SYK,0.013488187
HSY,PG,0.013502264
ES,RMD,0.01351944
DUK,TER,0.013643399
AEP,ROP,0.013665414
PG,PNC,0.013670947
K,SJM,0.013682362
K,NEE,0.013704317
LNT,TDG,0.013772077
AEP,SNA,0.013834066
DUK,SWK,0.013840579
GIS,WAT,0.013841201
AEP,JKHY,0.013848942
PEP,POOL,0.013865642
MDLZ,RJF,0.013884152
AEE,MAS,0.013947465
PEP,WFC,0.013959582
DUK,TGT,0.013962534
AEP,SNPS,0.013962644
DUK,MDLZ,0.014004803
PNW,SJM,0.014023564
BMY,TJX,0.014024164
BAX,DHI,0.014024196
NEE,PKI,0.014057367
D,PH,0.014104235
ES,UPS,0.014125704
CMS,MDLZ,0.014129886
ES,TER,0.014144427
K,KLAC,0.014169026
NEE,PAYX,0.014224329
ADP,COST,0.014245139
D,TRV,0.014282704
KO,YUM,0.014310115
NEE,TYL,0.014333241
D,KLAC,0.014338806
LNT,T,0.014343978
CL,WY,0.01440625
CLX,TFX,0.014473132
BDX,SYK,0.014591013
AEP,CMCSA,0.01463597
SYY,UNH,0.014643902
CPB,NI,0.014721486
AEP,EFX,0.014735733
CMS,DRI,0.014758554
NEE,PGR,0.014767935
AEP,LH,0.014779691
PFE,TFC,0.014905001
PG,SPGI,0.014912457
MDLZ,NEE,0.014933176
HSY,VZ,0.014938817
ABT,AMGN,0.014940619
KMB,TJX,0.014958742
CMS,RMD,0.015093771
JNJ,TMO,0.015114737
LMT,PAYX,0.015118419
ADP,MTD,0.015134907
JNJ,KLAC,0.015141796
SO,TER,0.015151712
PEG,STZ,0.015200273
PPL,VMC,0.015207928
AEE,TMUS,0.015314658
PEG,PKI,0.015337381
GIS,PSA,0.015343205
BMY,CAH,0.015354444
MKC,NVR,0.015376374
ABT,SHW,0.015395476
LNT,PEP,0.015408536
LLY,PEG,0.01547952
BDX,LMT,0.015481178
AEP,TRV,0.015510295
NEE,VRSN,0.015511885
PNW,WRB,0.015647374
GIS,IT,0.015675901
BMY,DIS,0.015719033
BAX,PHM,0.015740395
PG,TER,0.015770059
K,TRV,0.015794782
AEP,JNJ,0.015841065
PG,PH,0.015847882
D,MSI,0.015861768
WBA,WFC,0.015896788
BDX,PEG,0.015924216
BDX,MHK,0.01596405
CL,SBAC,0.015981284
BF-B,D,0.016027327
VZ,YUM,0.01612523
PG,WELL,0.016153153
KO,LH,0.016187631
ADP,PEP,0.016244136
BF-B,DUK,0.016266272
AEP,K,0.016295555
ES,MTB,0.016311049
LNT,WRB,0.016339312
PEG,TMO,0.016373367
D,RMD,0.016374145
AEP,APH,0.01638417
DUK,WAT,0.016447047
CL,MSI,0.016465946
DTE,SPGI,0.016471316
ES,NVR,0.01654958
ADP,CB,0.016630663
LNT,VRSN,0.016684917
D,ROK,0.016720897
BAX,PG,0.016773143
HSY,YUM,0.016812296
NEE,TECH,0.01691251
BAX,CINF,0.016986671
DUK,SNPS,0.017046232
GD,VMC,0.017048274
LMT,TSN,0.017076425
BMY,REGN,0.017096433
DUK,PG,0.01710501
KMB,ROP,0.0171323
AEP,HD,0.01715476
DTE,IEX,0.017169201
JNJ,MCO,0.017242404
ADP,JPM,0.017246745
K,XRAY,0.017252164
AEP,MTD,0.017283867
PEG,SEE,0.017307353
AEP,TDG,0.017320366
D,MMM,0.017391002
BDX,WM,0.017396748
BDX,SEE,0.017396794
PEP,PNC,0.01745522
BDX,TECH,0.017493145
DTE,TDG,0.017528007
AEP,ALGN,0.01757352
SJM,WELL,0.017641743
PEP,SWK,0.017672863
DTE,GPC,0.017709997
CPB,MKTX,0.017788097
PEP,WRB,0.017817569
DTE,MTB,0.017891165
NEE,TSN,0.017935897
DUK,LKQ,0.018035017
LLY,VRSN,0.018110826
CLX,IPG,0.018129573
ADP,LH,0.018149255
DUK,EBAY,0.018240028
SRE,WAB,0.01828665
JNJ,PTC,0.018305684
SJM,XEL,0.018431334
DUK,SPGI,0.018498904
CL,D,0.01850141
ADP,IPG,0.018520013
SO,WTW,0.018580209
ES,ROST,0.018607727
PEP,TXN,0.018636751
MDLZ,PEP,0.018638937
BMY,MA,0.01865301
ED,ROST,0.018690394
ADP,CDNS,0.01870084
D,YUM,0.018758074
TAP,TTWO,0.018763432
GIS,MDLZ,0.018767332
CPB,RSG,0.018834973
AEP,PGR,0.018850592
DUK,EL,0.018905563
DUK,PTC,0.018925039
CMS,MAA,0.018969947
GD,JPM,0.019029212
BAX,MMC,0.019035371
MKC,WAT,0.019061408
DUK,MSI,0.019096043
D,PKI,0.01909673
AEP,MMM,0.019104543
NEE,TRV,0.019203206
K,NWL,0.019204572
MDLZ,WFC,0.01928573
AEP,AON,0.01928954
LLY,PKI,0.019317254
D,NSC,0.019326599
AEP,FICO,0.019352976
CPB,MLM,0.01939967
CL,MTB,0.019428806
ES,KO,0.019471848
DTE,ROST,0.019473493
ADP,KLAC,0.01948875
MDLZ,TFC,0.019497225
BAX,IEX,0.01949941
D,MTD,0.019502427
BMY,MDLZ,0.019539023
KMB,TFC,0.019543863
HSY,ROK,0.019616283
K,WTW,0.019657766
ES,YUM,0.019720637
EIX,IRM,0.019741023
DTE,OMC,0.019752972
HSY,PARA,0.019799495
D,ICE,0.019812108
AEE,EIX,0.019822723
PFE,RJF,0.019879056
CL,DFS,0.019913304
BAX,CB,0.019918282
D,PNC,0.019965604
BDX,HUM,0.019990231
PG,VZ,0.020227026
NEE,TDG,0.020242628
ES,WRB,0.020246962
DUK,INTU,0.020289423
CL,FITB,0.020491828
KMB,MCO,0.020507803
MDLZ,ROL,0.020635839
ABT,MCK,0.020645419
CMS,TYL,0.020683628
CL,HSY,0.020806097
VZ,WTW,0.020811759
PFE,RMD,0.020836808
PEG,SPGI,0.020877346
ED,WAT,0.020904772
PEG,TFC,0.020910381
MDLZ,PKI,0.020921828
CL,CRM,0.020935548
BMY,SBUX,0.020975326
NEE,SNA,0.020983177
KO,ROP,0.020985948
BMY,ECL,0.021051504
DUK,RMD,0.02107548
PFE,PHM,0.021078768
CL,TSCO,0.021086795
VZ,WELL,0.021097333
SJM,TGT,0.02110315
KO,SO,0.021108733
SRE,TEL,0.021146134
GD,LHX,0.021186417
MCK,VFC,0.021238513
CMS,ICE,0.021248217
CLX,K,0.021325372
PG,UNP,0.02145677
GIS,TRV,0.021515085
AEP,WAT,0.021537922
CL,SPGI,0.021558729
KO,SWK,0.021610928
CL,IT,0.021617363
GD,PEG,0.021631451
EIX,PEG,0.021645325
CNP,NDSN,0.021679878
MDLZ,POOL,0.021692623
DTE,RMD,0.021740326
K,PEP,0.02180497
ES,MSI,0.021850393
DTE,ROP,0.02186925
PEP,TEL,0.021913935
KMB,PFE,0.021923073
HSY,PH,0.021945858
DUK,KLAC,0.021971171
AEP,MRK,0.022086406
CPB,WST,0.022107833
AEP,USB,0.022156095
PG,PRU,0.022209631
DUK,ODFL,0.022337885
BAX,PKG,0.022351901
AEP,IT,0.022388014
CL,SHW,0.022406754
BAX,ITW,0.022414304
BAX,USB,0.022468555
BAX,T,0.022507206
ADP,CMCSA,0.02251682
MCD,TER,0.022537489
CMS,SPGI,0.022547319
TAP,TXN,0.022564867
BDX,WST,0.022583576
MDLZ,USB,0.022589437
ADP,MDLZ,0.022594167
GIS,MTD,0.022664162
ADP,ICE,0.022666546
D,MCHP,0.022675063
BAX,CMCSA,0.022708845
ABT,MOH,0.022730721
CPB,JPM,0.0227352
EIX,USB,0.022737197
PEP,ROP,0.022745028
BF-B,ESS,0.022774734
BMY,MNST,0.022786563
K,TFC,0.022878092
KO,ORCL,0.022881935
CPB,CTAS,0.022988396
PEG,SCHW,0.022990312
GIS,O,0.023003747
LLY,TFC,0.023010487
CPB,SYY,0.023011835
PCG,SNPS,0.023091129
DTE,WAT,0.023103242
CPB,EQIX,0.023107192
ES,UDR,0.023165042
BAX,BLK,0.023271585
PCG,PGR,0.023277237
LNT,SYY,0.023284005
GD,PNC,0.023320094
BDX,GD,0.0233536
CLX,MDLZ,0.023356425
PEG,UNH,0.023403325
KO,PFE,0.023406172
BMY,WFC,0.023454528
CLX,IFF,0.023456537
LNT,RJF,0.023638727
AEP,UPS,0.023677001
HSY,WTW,0.023691266
DUK,MKC,0.023699537
D,WAT,0.023700963
MDLZ,SNA,0.023703943
GIS,LEN,0.023706468
ABT,CBRE,0.023714638
CLX,NKE,0.02379595
BF-B,PHM,0.023800793
AEP,MMC,0.023840962
GIS,POOL,0.023920117
NEE,VMC,0.023929933
PEP,WAT,0.024001631
KO,TROW,0.024061954
K,SPGI,0.02406253
BDX,LRCX,0.024093434
T,WRB,0.024160133
BMY,GIS,0.024232177
CMS,O,0.024280398
LNT,UPS,0.024301614
CPB,XRAY,0.024312817
BDX,LHX,0.024326325
CPB,KLAC,0.024356839
CPB,EFX,0.024389478
D,DD,0.024410901
JNJ,MAS,0.024452242
CL,CMCSA,0.024502806
DTE,TER,0.024516473
BF-B,IT,0.024556899
CPB,LH,0.024567502
KMB,SPGI,0.024579409
CPB,FISV,0.024581072
ES,JBHT,0.024619098
CL,SPG,0.024628087
BDX,CCL,0.024694893
ABT,TFC,0.024720782
MKC,POOL,0.024730537
PG,ROP,0.024735007
SRE,ZBH,0.024752575
AEP,MAS,0.02476237
BAX,TDY,0.024908409
EIX,EXPE,0.025023473
JNJ,MHK,0.025031057
MCK,PHM,0.025079506
EIX,SPGI,0.025085264
CLX,MAS,0.025108544
DTE,MKC,0.025155293
BDX,REG,0.025157766
LNT,POOL,0.025186986
LLY,MCO,0.025223417
MCD,MSI,0.025223795
AEP,BDX,0.025315943
PPL,VLO,0.025337263
BMY,DLTR,0.025363022
KMB,SHW,0.025365756
SJM,TJX,0.025369427
DUK,USB,0.025424116
ES,SBUX,0.025513674
BMY,LH,0.025568878
BAX,RE,0.025572005
DUK,TDY,0.025575363
PEP,VMC,0.025600337
MDLZ,XEL,0.025602948
MDLZ,PNC,0.025645954
LNT,TFC,0.025657421
DTE,MMM,0.02567229
KMB,RMD,0.025689872
D,PCAR,0.025760281
AEP,MSI,0.025769069
DTE,PNC,0.025772529
BAX,POOL,0.025787244
ADP,DPZ,0.025788261
CMS,ROL,0.025843586
ES,HON,0.025868816
EIX,MSFT,0.025974746
SRE,USB,0.026040266
SRE,WY,0.026040773
ABT,DIS,0.02606688
PNW,T,0.026143064
PNW,WAT,0.02615783
BAX,TECH,0.026191652
ES,WELL,0.02619895
DUK,WRB,0.026253904
BMY,COF,0.02625633
CMS,ROP,0.026392857
PEG,UAL,0.026455109
BMY,TYL,0.026537935
PEP,RMD,0.026538657
PEP,PTC,0.026661856
K,MTD,0.026680848
PG,WAT,0.026750046
AEP,COST,0.026752026
CMS,PEP,0.026755632
AEP,CCL,0.026868283
PEP,TT,0.026900085
SRE,TGT,0.026930048
CPB,MTD,0.026958977
ETR,TXT,0.026985034
CL,WFC,0.027005492
D,SWK,0.027021602
AEP,BALL,0.027054764
PFE,SRE,0.027136795
PEP,TECH,0.02731012
MKC,T,0.02733558
PEP,WHR,0.027397959
CMS,GIS,0.027420649
PEG,SNA,0.027466274
D,SHW,0.027533398
ES,SPGI,0.027642869
BMY,KMB,0.027653817
NEE,TXN,0.027654155
AEP,PAYX,0.027747355
KO,WAT,0.027828024
CMS,TFC,0.027842442
CPB,STZ,0.027848346
DTE,PTC,0.027871964
LNT,MDLZ,0.027975209
D,PKG,0.028002871
DUK,ORCL,0.02800379
BF-B,DVA,0.028091652
HSY,WELL,0.028212519
BAX,K,0.028253018
PEP,UNH,0.028257282
GD,STZ,0.028258291
JNJ,RE,0.02829619
BAX,OMC,0.028317667
JNJ,PNC,0.028324604
BF-B,PPG,0.028360493
ED,ISRG,0.028429041
CNP,PXD,0.028488701
ADP,SNPS,0.028492546
GIS,TDG,0.028543008
PG,RMD,0.028574162
GIS,TFC,0.028588799
GIS,MMC,0.02862521
CMS,XRAY,0.028661713
SJM,WTW,0.028721519
T,TFC,0.028738606
LNT,MMC,0.028741169
DTE,JPM,0.028763355
CLX,COST,0.028774326
K,MHK,0.028838285
BAX,SPGI,0.028860732
BDX,NVR,0.028889185
SJM,TRV,0.028964219
CLX,SPGI,0.029056845
LNT,TFX,0.029111828
BMY,MHK,0.029145023
ETR,STT,0.029181184
KO,TGT,0.029191914
CPB,IPG,0.029236945
CL,ROP,0.029271081
DTE,K,0.029276807
MDLZ,SNPS,0.029346289
CPB,VMC,0.029417701
BF-B,ECL,0.029419594
CMS,WEC,0.029444356
CMS,MCHP,0.029474149
D,EBAY,0.029570529
NI,PEP,0.029570547
GIS,XEL,0.029642344
CL,MRK,0.029828089
DUK,FRT,0.029909403
PEG,WST,0.029964518
DUK,SJM,0.030012601
MCD,PNW,0.030022847
PEP,USB,0.030041576
AEP,TGT,0.030046199
DTE,ICE,0.030087502
AEE,VMC,0.030198102
MDLZ,TYL,0.030293963
CL,LYV,0.030325304
PEG,VRSN,0.030369461
DTE,PEP,0.030458357
AEP,CE,0.030536732
T,VRSN,0.030622908
